odtItemId,odtId,odtOrdenId,odtDescripcion,productoId,codigoInterno,nombre,cantidad,estado,obs
1092,2442,4432,OT #8350 — No hay,0,JUEGPLAS00099,ESPEJO CON PASAMANOS,4,Pendiente,
1093,2433,4433,OT #8333 — 20 DIAS HABILES,103,MK-01A,PISCINA SENSORIAL CUADRADA,1,Pendiente,
1094,2433,4433,OT #8333 — 20 DIAS HABILES,1016,MK-59,VESTIBULADOR ROLLO COLUMPIO,1,Pendiente,
1096,2461,4441,OT #8389 — CONVENIO PLASTIMAR - 30 DIAS HABILES,118,MK-12,CIRCUITO,17,Pendiente,
1099,2414,4425,OT #8289 — No hay,1016,MK-59,VESTIBULADOR ROLLO COLUMPIO,1,Pendiente,POSEE REVESTIMIENTO INTERIORINCLUYE GRIFASE IMPLEMENTOS PARA FACILITAR EL ANCLAJE DIMENSIONES : 100 X 30 X 120 CM INCLUYE CADENAS Y GRIFAS PARA COLGAR TIPO DE
1102,2499,4452,OT #8485 — No hay,106,MK-05,JUEGO PSICOMOTRICIDAD AUTOMOVIL,1,Pendiente,
1103,2499,4452,OT #8485 — No hay,4064,MK-307,MURO ESCALADA,1,Pendiente,
1104,2443,4462,OT #8352 — 30 DIAS HABILES PARA DESPACHO,737,MK-190,BOWLING GIGANTE,1,Pendiente,6 palitroques y 2 pelotas.  Dimensiones: Palitroques 50 x 12 cm ancho                           Pelotas 20 cm diÃ¡metro. Tapiz Free Kid 
1105,2443,4462,OT #8352 — 30 DIAS HABILES PARA DESPACHO,962,MK-29,CUBO FANTASIA,1,Pendiente,Dimensiones: 35 x 35 x 35 cms.Tapiz Free Kid
1106,2443,4462,OT #8352 — 30 DIAS HABILES PARA DESPACHO,165,MK-15,ESCALA TRIPLE,1,Pendiente,Dimensiones: 50 x 50 x 25 cms.Tapiz Free Kid
1107,2443,4462,OT #8352 — 30 DIAS HABILES PARA DESPACHO,111,MK-08,SET FIGURAS GEOMETRICAS,1,Pendiente,Dimensiones:  1 Rampa 40 x 40 x 20 cm alto 2 Cuadrados 40 x 40 x 20 cm alto 4 Cubos 20 x 20 x 20 cm alto 2 Cilindros 40 x 20 cm diÃ¡metro 1 RectÃ¡ngulo 40 x 20 x 10 cm alto.  Tapiz cuerotex  
1108,2498,4463,OT #8481 — No hay,4523,MK-275,CUBO GRANDE 40x40x40 cms,1,Pendiente,
1109,2498,4463,OT #8481 — No hay,1002,MK-41,PUFF PERA CALA,3,Pendiente,
1110,2498,4463,OT #8481 — No hay,6692,MK-337,CILINDRO 20X50,10,Pendiente,
1111,2447,4464,OT #8359 — CONVENIO MARCO - 35 A 40 DIAS HABILES,165,MK-15,ESCALA TRIPLE,1,Pendiente,
1113,2424,4470,OT #8006 — No hay,912,MK-72,CENTRO DE ESTIMULACION DE GATEO,1,Pendiente,
1116,2446,4484,OT #8360 — No hay,0,mk-322,CILINDRO 60X30,3,Pendiente,
