decision_cliente,accion_requerida,codigo_normalizado,ejemplo_codigo_original,filas,pagos,cantidad_total,total_estimado,primera_fecha_doc,ultima_fecha_doc,muestras_pago_id,producto_destino_aprobado,comentario_cliente
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,691428009686,691428009686,1,1,1,1084,2019-02-10 00:00:00,2019-02-10 00:00:00,2092,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,6931598237452,6931598237452,1,1,1,7555,2024-02-14 00:00:00,2024-02-14 00:00:00,11226,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,6944380646512,6944380646512,1,1,1,160,2024-11-11 00:00:00,2024-11-11 00:00:00,12683,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,7168291310536,7168291310536,1,1,1,5874,2024-11-13 00:00:00,2024-11-13 00:00:00,12685,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,7382898,7382898,1,1,1,5876,2024-11-06 00:00:00,2024-11-06 00:00:00,12648,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,7385951,7385951,1,1,1,4613,2024-11-26 00:00:00,2024-11-26 00:00:00,12837,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,7542763,7542763,1,1,4,24068,2024-11-06 00:00:00,2024-11-06 00:00:00,12648,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,7592035,7592035,1,1,1,2261,2024-11-15 00:00:00,2024-11-15 00:00:00,12734,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,76812029042,76812029042,1,1,1,1672,2019-02-10 00:00:00,2019-02-10 00:00:00,2092,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,7798158245192,7798158245192,1,1,1,8815,2024-11-13 00:00:00,2024-11-13 00:00:00,12685,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,7798158245208,7798158245208,1,1,1,9235,2024-11-13 00:00:00,2024-11-13 00:00:00,12685,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,7800155269580,7800155269580,1,1,1,45990,2024-11-15 00:00:00,2024-11-15 00:00:00,12732,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,7800155406183,7800155406183,1,1,1,2980,2024-11-15 00:00:00,2024-11-15 00:00:00,12732,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,7800155406411,7800155406411,1,1,1,5970,2024-11-15 00:00:00,2024-11-15 00:00:00,12732,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,7800155406640,7800155406640,1,1,3,44970,2024-11-15 00:00:00,2024-11-15 00:00:00,12732,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,7800155406831,7800155406831,1,1,1,11990,2024-11-15 00:00:00,2024-11-15 00:00:00,12732,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,7803155111040,7803155111040,1,1,1,51252,2024-11-08 00:00:00,2024-11-08 00:00:00,12687,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,7809557535422,7809557535422,1,1,4,36940,2024-11-08 00:00:00,2024-11-08 00:00:00,12687,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,7809557535446,7809557535446,1,1,4,36940,2024-11-08 00:00:00,2024-11-08 00:00:00,12687,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,7809619907907,7809619907907,1,1,1,2513,2024-11-11 00:00:00,2024-11-11 00:00:00,12683,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,7809824114107,7809824114107,1,1,15,2265,2024-11-08 00:00:00,2024-11-08 00:00:00,12687,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,7896042029795,7896042029795,1,1,1,22681,2024-02-14 00:00:00,2024-02-14 00:00:00,11226,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,8424902348282,8424902348282,1,1,1,2681,2024-11-11 00:00:00,2024-11-11 00:00:00,12683,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,87639,87639,1,1,8,6768,2022-07-25 00:00:00,2022-07-25 00:00:00,7245,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,885911591027,885911591027,1,1,1,50412,2024-11-13 00:00:00,2024-11-13 00:00:00,12685,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,8887719363662,8887719363662,1,1,2,18470,2024-11-13 00:00:00,2024-11-13 00:00:00,12685,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,8949,8949,1,1,10,1680,2022-09-29 00:00:00,2022-09-29 00:00:00,7730,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,9006850,9006850,1,1,1,1084,2024-11-04 00:00:00,2024-11-04 00:00:00,12653,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,9023364,9023364,1,1,1,22680,2024-11-06 00:00:00,2024-11-06 00:00:00,12648,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,9025758,9025758,1,1,1,50411,2024-11-06 00:00:00,2024-11-06 00:00:00,12648,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,9608,9608,1,1,1,3353,2022-04-20 00:00:00,2022-04-20 00:00:00,6595,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,9633,9633,1,1,10,2510,2022-12-14 00:00:00,2022-12-14 00:00:00,8098,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,9646,9646,1,1,10,4190,2024-11-25 00:00:00,2024-11-25 00:00:00,12824,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,9647,9647,1,1,1,10,2024-11-25 00:00:00,2024-11-25 00:00:00,12824,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,ABRAZADERA12MM,ABRAZADERA12MM,1,1,36,12600,2020-08-11 00:00:00,2020-08-11 00:00:00,3954,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,ADMIN0100009,ADMIN0100009,1,1,1,91002,2019-02-12 00:00:00,2019-02-12 00:00:00,2090,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,ADMIN10004,admin10004,1,1,1,3004,2019-08-06 00:00:00,2019-08-06 00:00:00,2578,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,AFICHE,afiche,1,1,40,265560,2022-12-01 00:00:00,2022-12-01 00:00:00,7981,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,AGUAYO,AGUAYO,1,1,1,90000,2021-05-07 00:00:00,2021-05-07 00:00:00,4980,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,AGUJADPX5120,agujadpx5120,1,1,30,7530,2022-09-29 00:00:00,2022-09-29 00:00:00,7730,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,ALCOSPRAY001,ALCOSPRAY001,1,1,1,4958,2021-03-15 00:00:00,2021-03-15 00:00:00,4832,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,APRESTO,APRESTO,1,1,1,88235,2022-11-21 00:00:00,2022-11-21 00:00:00,7932,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,ARACTINA,ARACTINA,1,1,6,44874,2022-09-22 00:00:00,2022-09-22 00:00:00,7465,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,ARC-19091558,ARC-19091558,1,1,1,7097,2025-05-28 00:00:00,2025-05-28 00:00:00,14482,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,ARC-21089425,ARC-21089425,1,1,2,3824,2025-05-28 00:00:00,2025-05-28 00:00:00,14482,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,ARC-21089685,ARC-21089685,1,1,5,6280,2025-05-28 00:00:00,2025-05-28 00:00:00,14482,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,ARC-2193856,ARC-2193856,1,1,2,7722,2025-05-28 00:00:00,2025-05-28 00:00:00,14482,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,ARC-22066026,ARC-22066026,1,1,1,4455,2025-05-28 00:00:00,2025-05-28 00:00:00,14482,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,ARC-22082556,ARC-22082556,1,1,1,4698,2025-05-28 00:00:00,2025-05-28 00:00:00,14482,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,ARGOLLAD998345,ARGOLLAD998345,1,1,4,2856,2024-05-20 00:00:00,2024-05-20 00:00:00,11750,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,BAEJER65,baejer65,1,1,5,28150,2023-11-02 00:00:00,2023-11-02 00:00:00,10065,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,BB32001033RO,BB32001033RO,1,1,20,428420,2024-05-14 00:00:00,2024-05-14 00:00:00,11719,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,BB32006787CE1,BB32006787CE1,1,1,20,285420,2024-05-14 00:00:00,2024-05-14 00:00:00,11719,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,BBR219,bbr219,1,1,20,1680,2022-09-13 00:00:00,2022-09-13 00:00:00,7558,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,BE929P,BE929P,1,1,1,145000,2021-03-15 00:00:00,2021-03-15 00:00:00,4777,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,BISTPECH,bistpech,1,1,50,47500,2022-11-08 00:00:00,2022-11-08 00:00:00,7801,"",""
