decision_cliente,accion_requerida,codigo_vendedor,compras,primera_fecha,ultima_fecha,total_compras,muestras_n_compra,usuario_actual_aprobado,comentario_cliente
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1050,7,2018-01-04 21:31:12,2018-01-05 18:42:46,0,20180104093112 | 20180104093348 | 20180104094457 | 20180105095849 | 20180105013427 | 20180105032818 | 20180105064246,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1074,7,2018-08-20 13:05:02,2018-09-05 16:29:23,2892311,20180820010502 | 20180820010557 | 20180821033015 | 20180821033037 | 20180821034046 | 20180824102839 | 20180905042923,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1168,6,2024-11-03 00:27:18,2025-04-22 08:32:42,0,20241103122718 | 20250403104431 | 20250411102403 | 20250411103636 | 20250421095353 | 20250422083103,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1045,5,2017-11-16 16:20:59,2017-11-16 18:58:42,0,20171116042059 | 20171116043820 | 20171116044259 | 20171116053222 | 20171116065842,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1106,5,2020-11-23 13:57:57,2020-12-17 14:13:44,2472357,20201123015757 | 20201207045531 | 20201210110515 | 20201210110755 | 20201217021344,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1054,4,2018-03-01 11:05:22,2018-03-05 15:26:40,44766,20180301110522 | 20180305032210 | 20180305032540 | 20180305032640,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1038,3,2017-09-20 17:50:24,2017-09-21 08:54:46,3287407,20170920055024 | 20170920063730 | 20170921085446,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1000,2,2019-07-02 12:40:17,2019-07-10 13:16:06,578823,20190702124017 | 20190710011606,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1018,2,2017-09-14 14:40:08,2018-01-17 14:28:20,0,20170914024007 | 20180117022819,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1026,2,2017-06-01 15:27:39,2017-06-01 15:49:22,2422242,20170601032739 | 20170601034922,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1027,2,2017-08-31 16:33:14,2017-10-17 08:32:54,6504,20170831043314 | 20171017083254,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1063,2,2018-04-10 13:52:20,2018-04-10 13:52:35,0,20180410015220 | 20180410015235,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1013,1,2016-12-26 18:25:33,2016-12-26 18:25:33,38891,20161226062533,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1017,1,2017-02-17 11:59:55,2017-02-17 11:59:55,0,20170217115955,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1080,1,2019-01-01 14:29:22,2019-01-01 14:29:22,0,20190101022922,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1098,1,2022-05-20 13:41:22,2022-05-20 13:41:22,129595,20220520014122,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1114,1,2021-08-16 20:26:04,2021-08-16 20:26:04,234437,20210816082604,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1149,1,2023-04-17 11:05:43,2023-04-17 11:05:43,1103075,20230417110543,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1153,1,2023-09-01 09:28:00,2023-09-01 09:28:00,93989,20230901092800,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1176,1,2025-12-03 11:59:25,2025-12-03 11:59:25,193676,20251203115925,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1189,1,2025-04-24 11:35:43,2025-04-24 11:35:43,0,20250424110722,"",""
