decision_cliente,accion_requerida,legacy_id,codigo_interno,stock,fecha,usuario,comentario_cliente
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,140,d306025,3,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,141,d306027,2,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,142,d750003,3,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,143,310,2,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,144,d750001,9,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,145,pt-ev00552,2,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,146,d230009,1,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,147,e9383,1,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,148,f6420,1,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,149,aa-6560,1,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,150,d230030,2,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,151,c404005,1,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,152,c705013,6,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,153,d905008,2,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,154,b5521,1,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,155,f1259,2,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,156,hasb-12204,2,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,157,aa-5350,3,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,158,d605002,1,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,159,d811022,8,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,160,d705049,2,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,161,d705046,1,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,162,d705047,1,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,163,d705057,1,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,164,d705058,1,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,165,mk03164,1,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,166,mk10032,1,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,167,d201052,2,2025-08-21 12:52:58,Gerardo Mercier,
